Province_State,week,cases
Louisiana,2020-W29,601297
Louisiana,2020-W30,707521
Louisiana,2020-W31,564489
Louisiana,2020-W33,546831
Louisiana,2020-W34,984717
Louisiana,2020-W35,1022137
Louisiana,2020-W36,148894
Louisiana,2020-W37,158390
Louisiana,2020-W38,1123245
Louisiana,2020-W39,1150448
Louisiana,2020-W40,500621
Louisiana,2020-W42,1062811
Louisiana,2020-W43,1270656
Louisiana,2020-W44,1113862
Louisiana,2020-W46,608475
Louisiana,2020-W47,1488232
Louisiana,2020-W48,1590288
Louisiana,2020-W49,232414
Louisiana,2020-W50,268613
Louisiana,2020-W51,1947798
Louisiana,2020-W52,2061374
Louisiana,2020-W53,1231528
Maine,2020-W04,0
Maine,2020-W05,0
Maine,2020-W07,0
Maine,2020-W08,0
Maine,2020-W09,0
Maine,2020-W11,8
Maine,2020-W12,345
Maine,2020-W13,1154
Maine,2020-W14,578
Maine,2020-W16,5540
Maine,2020-W17,6552
Maine,2020-W18,4214
Maine,2020-W20,8018
Maine,2020-W21,13166
Maine,2020-W22,15342
Maine,2020-W24,5550
Maine,2020-W25,20151
Maine,2020-W26,21501
Maine,2020-W27,6472
Maine,2020-W29,25268
Maine,2020-W30,26254
Maine,2020-W31,19336
Maine,2020-W33,16517
Maine,2020-W34,29838
Maine,2020-W35,30971
Maine,2020-W36,4529
Maine,2020-W37,4863
Maine,2020-W38,34838
Maine,2020-W39,36415
Maine,2020-W40,16026
Maine,2020-W42,35142
Maine,2020-W43,42464
Maine,2020-W44,38640
Maine,2020-W46,26374
Maine,2020-W47,68173
Maine,2020-W48,77696
Maine,2020-W49,11757
Maine,2020-W50,15923
Maine,2020-W51,124342
Maine,2020-W52,145719
Maine,2020-W53,92928
Maryland,2020-W04,0
Maryland,2020-W05,0
